1528294251.91::Prime Minister Modi holds productive talks with Indonesian President\n via NaMo App https:\/\/t.co\/jkgODZa6Kz","display_text_range":[0,82],"source":"\u003ca href=\"http:\/\/twitter.com\/download\/android\" rel=\"nofollow\"\u003eTwitter for Android\u003c\/a\u003e","truncated":false,"in_reply_to_status_id":null,"in_reply_to_status_id_str":null,"in_reply_to_user_id":null,"in_reply_to_user_id_str":null,"in_reply_to_screen_name":null,"user":{"id":935209367409852416,"id_str":"935209367409852416","name":"Nalini Barot","screen_name":"barot_nalini","location":"Surat, India","url":null,"description":"Hi","translator_type":"none","protected":false,"verified":false,"followers_count":93,"friends_count":252,"listed_count":0,"favourites_count":4427,"statuses_count":2761,"created_at":"Mon Nov 27 18:11:03 +0000 2017","utc_offset":null,"time_zone":null,"geo_enabled":false,"lang":"en","contributors_enabled":false,"is_translator":false,"profile_background_color":"F5F8FA","profile_background_image_url":"","profile_background_image_url_https":"","profile_background_tile":false,"profile_link_color":"1DA1F2","profile_sidebar_border_color":"C0DEED","profile_sidebar_fill_color":"DDEEF6","profile_text_color":"333333","profile_use_background_image":true,"profile_image_url":"http:\/\/pbs.twimg.com\/profile_images\/966371067790020611\/yzl11P_b_normal.jpg","profile_image_url_https":"https:\/\/pbs.twimg.com\/profile_images\/966371067790020611\/yzl11P_b_normal.jpg","profile_banner_url":"https:\/\/pbs.twimg.com\/profile_banners\/935209367409852416\/1512576178","default_profile":true,"default_profile_image":false,"following":null,"follow_request_sent":null,"notifications":null},"geo":null,"coordinates":null,"place":null,"contributors":null,"is_quote_status":false,"quote_count":0,"reply_count":0,"retweet_count":0,"favorite_count":0,"entities":{"hashtags":[],"urls":[],"user_mentions":[],"symbols":[],"media":[{"id":1004364988176142336,"id_str":"1004364988176142336","indices":[83,106],"media_url":"http:\/\/pbs.twimg.com\/media\/DfA4oqkUEAASVlx.jpg","media_url_https":"https:\/\/pbs.twimg.com\/media\/DfA4oqkUEAASVlx.jpg","url":"https:\/\/t.co\/jkgODZa6Kz","display_url":"pic.twitter.com\/jkgODZa6Kz","expanded_url":"https:\/\/twitter.com\/barot_nalini\/status\/1004364998322221057\/photo\/1","type":"photo","sizes":{"thumb":{"w":150,"h":150,"resize":"crop"},"large":{"w":688,"h":802,"resize":"fit"},"small":{"w":583,"h":680,"resize":"fit"},"medium":{"w":688,"h":802,"resize":"fit"}}}]},"extended_entities":{"media":[{"id":1004364988176142336,"id_str":"1004364988176142336","indices":[83,106],"media_url":"http:\/\/pbs.twimg.com\/media\/DfA4oqkUEAASVlx.jpg","media_url_https":"https:\/\/pbs.twimg.com\/media\/DfA4oqkUEAASVlx.jpg","url":"https:\/\/t.co\/jkgODZa6Kz","display_url":"pic.twitter.com\/jkgODZa6Kz","expanded_url":"https:\/\/twitter.com\/barot_nalini\/status\/1004364998322221057\/photo\/1","type":"photo","sizes":{"thumb":{"w":150,"h":150,"resize":"crop"},"large":{"w":688,"h":802,"resize":"fit"},"small":{"w":583,"h":680,"resize":"fit"},"medium":{"w":688,"h":802,"resize":"fit"}}}]},"favorited":false,"retweeted":false,"possibly_sensitive":false,"filter_level":"low","lang":"en","timestamp_ms":"1528294250456"}


1528294252.11::RT @vinod_bansal: \u0935\u0947\u091f\u093f\u0915\u0928 \u0915\u0947 \u0907\u0936\u093e\u0930\u0947 \u092a\u0930 \u091a\u0932\u0928\u0947 \u0935\u093e\u0932\u0940 \u0938\u0930\u0915\u093e\u0930 \u091a\u093e\u0939\u0924\u0947 \u0939\u0948\u0902 \u092d\u093e\u0930\u0924\u0940\u092f \u091a\u0930\u094d\u091a: VHP \nhttps:\/\/t.co\/pInVzVdbtm via @aajtak

1528294253.14::RT @sanjivbhatt: Had Modi not become the Prime Minister of India, we would never have estimated the percentage of idiots amongst us.

1528294254.89::RT @LogicianMatt: Why is Modi vs all not working? Amit Shah should make it clear to Shiv Sena that the alliance is off.

1528294255.29::non importa quanti anni passeranno, il video di war of hormones continuer\u00e0 ad attaccarmi sempre in mille modi diversi.

1528294255.52::RT @tvsdprasad: GVL \u0c17\u0c3e\u0c30\u0c3f psephologist experience \u0c17\u0c41\u0c30\u0c3f\u0c02\u0c1a\u0c3f \u0c28\u0c47\u0c28\u0c41 \u0c35\u0c3f\u0c15\u0c40\u0c2a\u0c40\u0c21\u0c3f\u0c2f\u0c3e \u0c32\u0c4b \"Known for First Man to Predict Modi as PM\" \u0c05\u0c28\u0c3f \u0c09\u0c02\u0c26\u0c3f,\u0c28\u0c47\u0c28\u0c41 \u0c15\u0c42\u0c21\u0c3e\u2026

1528294255.73::RT @kmlshdbh: \u0915\u094d\u092f\u093e \u0905\u092d\u0940 \u0924\u0915 \u092d\u093e\u0930\u0924 \u092e\u0947\u0902 \u092e\u093f\u0932\u0928\u0947 \u0935\u093e\u0932\u0947 \u092e\u094b\u092c\u093e\u0907\u0932 \u092b\u093c\u094b\u0928\u094d\u0938 \u092a\u0930 \u0915\u0947\u0935\u0932 \u092e\u0947\u0921 \u0907\u0928 #\u0905\u092e\u0947\u0920\u0940 \u0914\u0930 \u092e\u0947\u0921 \u0907\u0928 #\u0930\u093e\u092f\u092c\u0930\u0947\u0932\u0940 \u0932\u093f\u0916\u093e \u0939\u094b\u0924\u093e \u0925\u093e? @RahulGandhi \u0915\u094b \u0935\u094b\u091f \u0926\u0947\u2026

1528294255.93::RT @sushantsareen: The administrative protocol and the EVM is already foolproof but no proof is ever enough for the fool. Also its strange\u2026

1528294256.95::RT @HindiJKR: PM \u092e\u094b\u0926\u0940 \u0915\u0947 \u0938\u0902\u0938\u0926\u0940\u092f \u0915\u094d\u0937\u0947\u0924\u094d\u0930 \u092a\u0939\u0941\u0902\u091a\u0947 \u0909\u0928\u0915\u0947 \u0939\u0940 \u092e\u0902\u0924\u094d\u0930\u0940 \u0928\u0947 \u0935\u093f\u0915\u093e\u0938 \u0915\u093e\u0930\u094d\u092f\u094b\u0902 \u0914\u0930 \u0938\u094d\u0935\u091a\u094d\u091b\u0924\u093e \u092a\u0930 \u0909\u0920\u093e\u090f \u0938\u0935\u093e\u0932, \u092c\u094b\u0932\u0947- \u2018\u0935\u093e\u0930\u093e\u0923\u0938\u0940 \u092c\u0939\u0941\u0924 \u0917\u0902\u0926\u093e \u0939\u0948, \u092f\u0939\u093e\u0902\u2026

